"","GEOID10","stops2010","pop2010","stops2011","pop2011","stops2012","pop2012"
"1033",36047102000,92,1922,76,1922,100,1922
"1034",36047102200,173,2075,142,2075,147,2075
"1035",36047102400,96,2123,67,2123,58,2123
"1036",36047102600,53,2771,75,2771,32,2771
"1037",36047102800,144,1579,129,1579,107,1579
"1038",36047103400,419,3918,490,3918,334,3918
"1039",36047105801,140,6928,40,6928,29,6928
"1040",36047105804,153,6426,138,6426,83,6426
"1041",36047107000,197,322,149,322,91,322
"1042",36047107800,130,3849,108,3849,61,3849
"1043",36047109800,145,1917,187,1917,162,1917
"1044",36047110400,1295,4358,1287,4358,1429,4358
"1045",36047110600,1389,4311,832,4311,1309,4311
"1046",36047111000,534,3216,409,3216,352,3216
"1047",36047111600,423,3484,316,3484,201,3484
"1048",36047111800,197,3053,264,3053,184,3053
"1049",36047112000,353,3155,337,3155,620,3155
"1050",36047112200,298,3371,250,3371,374,3371
"1051",36047112400,721,3416,518,3416,907,3416
"1052",36047112600,1508,3783,2026,3783,1496,3783
"1053",36047112800,539,3822,807,3822,699,3822
"1054",36047113000,382,3891,372,3891,627,3891
"1055",36047113200,203,1937,313,1937,341,1937
"1056",36047113400,646,2838,406,2838,502,2838
"1057",36047114201,87,1578,164,1578,75,1578
"1058",36047114202,66,2766,77,2766,37,2766
"1059",36047114400,1144,2403,2237,2403,702,2403
"1060",36047114600,265,2998,320,2998,186,2998
"1061",36047115000,277,2595,330,2595,239,2595
"1062",36047115200,1648,3094,2035,3094,733,3094
"1063",36047115600,1523,4315,1682,4315,1251,4315
"1064",36047115800,672,2983,985,2983,387,2983
"1065",36047116000,488,2543,464,2543,276,2543
"1066",36047116200,219,2157,237,2157,171,2157
"1067",36047116400,149,2921,138,2921,147,2921
"1068",36047116600,341,2907,769,2907,609,2907
"1069",36047116800,290,2057,425,2057,308,2057
"1070",36047117000,362,1880,536,1880,362,1880
"1071",36047117201,223,2713,366,2713,277,2713
"1072",36047117202,119,3907,141,3907,87,3907
"1073",36047117400,492,4329,567,4329,365,4329
"1074",36047117601,321,2750,297,2750,177,2750
"1075",36047117602,218,3313,187,3313,90,3313
"1076",36047117800,171,1717,188,1717,73,1717
"1077",36047118000,151,6,139,6,88,6
"1078",36047118201,98,3002,87,3002,62,3002
"1079",36047118202,122,3083,132,3083,99,3083
"1080",36047118400,668,5420,768,5420,339,5420
"1081",36047118600,189,2969,175,2969,62,2969
"1082",36047118800,529,4651,401,4651,170,4651
"1083",36047119000,426,2127,481,2127,133,2127
"1084",36047119200,337,3013,656,3013,637,3013
"1085",36047119400,423,3914,721,3914,679,3914
"1086",36047119600,1490,5403,1530,5403,1435,5403
"1087",36047119800,531,3426,481,3426,331,3426
"1088",36047120000,290,2148,308,2148,216,2148
"1089",36047120200,295,1900,458,1900,359,1900
"1090",36047120800,318,8938,555,8938,453,8938
"1091",36047121000,717,4035,1302,4035,1587,4035
"1092",36047121400,1267,4351,1282,4351,1274,4351
"1093",36047122000,348,5495,342,5495,234,5495
"1094",36047123700,156,6008,183,6008,134,6008
"1095",36047150200,33,2540,115,2540,21,2540
"1096",36047152200,147,3317,160,3317,139,3317
"1097",36061000201,155,3058,234,3058,207,3058
"1098",36061000202,322,7316,267,7316,279,7316
"1099",36061000600,458,11367,902,11367,697,11367
"1100",36061000700,60,8109,64,8109,59,8109
"1101",36061000800,124,10290,203,10290,226,10290
"1102",36061000900,248,731,482,731,392,731
"1103",36061001001,9,1434,26,1434,6,1434
"1104",36061001002,459,6547,578,6547,506,6547
"1105",36061001200,114,3397,140,3397,133,3397
"1106",36061001300,576,4479,1127,4479,964,4479
"1107",36061001401,35,3005,81,3005,58,3005
"1108",36061001402,203,2782,276,2782,282,2782
"1109",36061001501,59,5518,105,5518,52,5518
"1110",36061001502,304,7476,230,7476,166,7476
"1111",36061001600,307,8478,542,8478,367,8478
"1112",36061001800,677,8660,842,8660,641,8660
"1113",36061002000,332,4917,303,4917,342,4917
"1114",36061002100,119,6040,261,6040,216,6040
"1115",36061002201,310,6398,322,6398,335,6398
"1116",36061002202,163,2189,142,2189,89,2189
"1117",36061002400,504,5434,464,5434,696,5434
"1118",36061002500,266,4869,226,4869,247,4869
"1119",36061002601,244,3772,244,3772,327,3772
"1120",36061002602,203,4227,272,4227,234,4227
"1121",36061002700,42,1264,43,1264,40,1264
"1122",36061002800,501,7114,595,7114,589,7114
"1123",36061002900,462,6398,473,6398,344,6398
"1124",36061003001,292,4492,260,4492,174,4492
"1125",36061003002,135,3106,93,3106,94,3106
"1126",36061003100,385,2550,329,2550,277,2550
"1127",36061003200,462,8234,490,8234,435,8234
"1128",36061003300,340,5156,405,5156,408,5156
"1129",36061003400,403,6612,409,6612,360,6612
"1130",36061003601,420,3393,404,3393,357,3393
"1131",36061003602,277,3151,329,3151,330,3151
"1132",36061003700,116,2447,153,2447,95,2447
"1133",36061003800,442,9237,468,9237,444,9237
"1134",36061003900,30,5860,29,5860,30,5860
"1135",36061004000,311,8651,446,8651,362,8651
"1136",36061004100,244,7817,276,7817,221,7817
"1137",36061004200,262,5145,293,5145,276,5145
"1138",36061004300,176,4270,270,4270,259,4270
"1139",36061004400,171,16538,160,16538,160,16538
"1140",36061004500,532,1136,352,1136,357,1136
"1141",36061004700,164,2524,177,2524,149,2524
"1142",36061004800,147,7229,180,7229,124,7229
"1143",36061004900,247,4942,314,4942,334,4942
"1144",36061005000,168,5055,255,5055,129,5055
"1145",36061005200,135,3408,249,3408,174,3408
"1146",36061005400,364,4536,348,4536,205,4536
"1147",36061005501,107,4204,69,4204,63,4204
"1148",36061005502,483,2257,475,2257,393,2257
"1149",36061005600,200,3322,250,3322,202,3322
"1150",36061005700,217,2781,171,2781,162,2781
"1151",36061005800,263,3512,245,3512,147,3512
"1152",36061005900,99,5401,111,5401,110,5401
"1153",36061006000,30,4511,44,4511,30,4511
"1154",36061006100,405,5224,341,5224,380,5224
"1155",36061006200,43,4437,48,4437,27,4437
"1156",36061006300,73,6380,56,6380,67,6380
"1157",36061006400,72,8090,80,8090,47,8090
"1158",36061006500,313,6202,387,6202,474,6202
"1159",36061006600,239,11740,306,11740,221,11740
"1160",36061006700,1077,5461,573,5461,741,5461
"1161",36061006800,91,7614,131,7614,45,7614
"1162",36061006900,58,2759,61,2759,113,2759
"1163",36061007000,173,8871,136,8871,121,8871
"1164",36061007100,183,5429,187,5429,187,5429
"1165",36061007200,394,8664,348,8664,273,8664
"1166",36061007300,443,6215,502,6215,611,6215
"1167",36061007400,330,4319,458,4319,422,4319
"1168",36061007500,272,4159,193,4159,216,4159
"1169",36061007600,1147,2277,991,2277,706,2277
"1170",36061007700,412,5966,555,5966,710,5966
"1171",36061007800,107,8391,56,8391,68,8391
"1172",36061007900,176,4442,191,4442,293,4442
"1173",36061008000,76,5377,76,5377,41,5377
"1174",36061008100,303,8047,496,8047,470,8047
"1175",36061008200,49,3262,60,3262,45,3262
"1176",36061008300,307,4092,313,4092,283,4092
"1177",36061008400,389,1595,473,1595,196,1595
"1178",36061008601,41,2618,21,2618,20,2618
"1179",36061008602,9,0,11,0,6,0
"1180",36061008603,20,4799,18,4799,24,4799
"1181",36061008700,202,6338,214,6338,173,6338
"1182",36061008800,112,7026,109,7026,80,7026
"1183",36061008900,311,5708,254,5708,175,5708
"1184",36061009000,109,7883,127,7883,68,7883
"1185",36061009100,214,6304,269,6304,209,6304
"1186",36061009200,834,1806,810,1806,617,1806
"1187",36061009300,485,8780,692,8780,519,8780
"1188",36061009400,127,73,141,73,152,73
"1189",36061009500,181,3040,386,3040,224,3040
"1190",36061009600,344,155,472,155,332,155
"1191",36061009700,209,5224,218,5224,140,5224
"1192",36061009800,81,7316,111,7316,100,7316
"1193",36061009900,272,1945,239,1945,149,1945
"1194",36061010000,218,1992,290,1992,212,1992
"1195",36061010100,1879,1116,1880,1116,1712,1116
"1196",36061010200,70,230,108,230,94,230
"1197",36061010300,122,2058,116,2058,106,2058
"1198",36061010400,71,966,86,966,54,966
"1199",36061010601,29,7351,15,7351,7,7351
"1200",36061010602,46,4875,54,4875,46,4875
"1201",36061010800,111,9039,75,9039,52,9039
"1202",36061010900,1615,183,1373,183,995,183
"1203",36061011000,117,7169,140,7169,132,7169
"1204",36061011100,202,3512,237,3512,211,3512
"1205",36061011201,145,992,146,992,139,992
"1206",36061011202,26,441,41,441,53,441
"1207",36061011203,478,1401,826,1401,391,1401
"1208",36061011300,3698,117,2925,117,2596,117
"1209",36061011401,54,1412,50,1412,52,1412
"1210",36061011402,96,2397,139,2397,83,2397
"1211",36061011500,733,2303,570,2303,680,2303
"1212",36061011600,43,3543,39,3543,28,3543
"1213",36061011700,27,3364,12,3364,12,3364
"1214",36061011800,91,8767,82,8767,95,8767
"1215",36061011900,822,1120,814,1120,594,1120
"1216",36061012000,224,3971,323,3971,235,3971
"1217",36061012100,574,8554,424,8554,325,8554
"1218",36061012200,57,3633,96,3633,61,3633
"1219",36061012400,61,10218,78,10218,65,10218
"1220",36061012500,579,2719,635,2719,502,2719
"1221",36061012600,89,12774,113,12774,75,12774
"1222",36061012700,275,6928,392,6928,377,6928
"1223",36061012800,163,6270,257,6270,195,6270
"1224",36061012900,96,6038,78,6038,73,6038
"1225",36061013000,55,4195,80,4195,50,4195
"1226",36061013100,103,2816,197,2816,103,2816
"1227",36061013200,92,10590,109,10590,104,10590
"1228",36061013300,43,6208,76,6208,70,6208
"1229",36061013400,194,11174,232,11174,169,11174
"1230",36061013500,65,6596,65,6596,54,6596
"1231",36061013600,124,15344,154,15344,137,15344
"1232",36061013700,184,6471,184,6471,180,6471
"1233",36061013800,187,12444,272,12444,205,12444
"1234",36061013900,39,9257,70,9257,29,9257
"1235",36061014000,121,7813,168,7813,145,7813
"1236",36061014200,65,4462,80,4462,79,4462
"1237",36061014300,815,25,1213,25,866,25
"1238",36061014401,71,4864,86,4864,99,4864
"1239",36061014402,152,6743,184,6743,133,6743
"1240",36061014500,353,5542,319,5542,209,5542
"1241",36061014601,135,4274,124,4274,138,4274
"1242",36061014602,113,7904,96,7904,131,7904
"1243",36061014700,69,2755,40,2755,31,2755
"1244",36061014801,131,2863,166,2863,230,2863
"1245",36061014802,525,7066,761,7066,718,7066
"1246",36061014900,333,5842,522,5842,253,5842
"1247",36061015001,17,2294,20,2294,29,2294
"1248",36061015002,39,5437,39,5437,58,5437
"1249",36061015100,627,8306,822,8306,511,8306
"1250",36061015200,418,7275,369,7275,326,7275
"1251",36061015300,292,9320,265,9320,195,9320
"1252",36061015400,231,13749,309,13749,263,13749
"1253",36061015500,85,9350,120,9350,57,9350
"1254",36061015601,93,5345,108,5345,71,5345
"1255",36061015602,384,2298,283,2298,206,2298
"1256",36061015700,324,10751,378,10751,282,10751
"1257",36061015801,257,5650,272,5650,260,5650
"1258",36061015802,86,3346,49,3346,60,3346
"1259",36061015900,569,9623,656,9623,507,9623
"1260",36061016001,56,3744,65,3744,73,3744
"1261",36061016002,24,3131,49,3131,12,3131
"1262",36061016100,155,6437,196,6437,108,6437
"1263",36061016200,1502,9308,1397,9308,653,9308
"1264",36061016300,185,6624,164,6624,124,6624
"1265",36061016400,1672,6127,2044,6127,881,6127
"1266",36061016500,218,6402,211,6402,156,6402
"1267",36061016600,1302,7317,952,7317,577,7317
"1268",36061016700,580,6564,666,6564,315,6564
"1269",36061016800,1603,5675,2210,5675,777,5675
"1270",36061016900,275,8108,236,8108,125,8108
"1271",36061017000,470,7855,399,7855,262,7855
"1272",36061017100,312,8989,319,8989,220,8989
"1273",36061017200,2268,5504,1826,5504,1107,5504
"1274",36061017300,162,8939,196,8939,164,8939
"1275",36061017401,782,5248,1086,5248,556,5248
"1276",36061017402,630,2093,471,2093,244,2093
"1277",36061017500,171,10820,289,10820,263,10820
"1278",36061017700,255,9151,419,9151,250,9151
"1279",36061017800,334,3912,309,3912,207,3912
"1280",36061017900,161,9293,298,9293,237,9293
"1281",36061018000,2285,7476,2482,7476,2317,7476
"1282",36061018100,65,8866,99,8866,78,8866
"1283",36061018200,2306,6768,2541,6768,2401,6768
"1284",36061018300,611,8667,672,8667,669,8667
"1285",36061018400,2242,7835,2437,7835,1581,7835
"1286",36061018500,36,4190,58,4190,36,4190
"1287",36061018600,1818,5701,1562,5701,1063,5701
"1288",36061018700,262,8974,264,8974,282,8974
"1289",36061018800,645,6008,647,6008,428,6008
"1290",36061018900,958,11547,1059,11547,896,11547
"1291",36061019000,297,3083,383,3083,221,3083
